id,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,beds,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
2085818124803388400,2017-03-08,"Chicago, IL",within an hour,100%,100%,TRUE,Wicker Park,2,2,"['email', 'phone']",TRUE,FALSE,West Town,41.90762,-87.66768,Entire rental unit,Entire home/apt,3,1 bath,2,2,1125,2,2,1125,1125,2,1125,TRUE,0,0,0,0,170,37,0,2018-06-05,2023-11-13,4.95,4.96,4.94,4.98,4.98,4.95,4.91,FALSE,2,2,0,0,2.52
1592994022453097500,2016-04-20,NA,NA,NA,NA,FALSE,Pulaski Park,1,1,"['email', 'phone', 'work_email']",TRUE,TRUE,West Town,41.90175,-87.66801,Entire rental unit,Entire home/apt,2,1 bath,NA,32,1125,32,32,1125,1125,32,1125,TRUE,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,1,1,0,0,NA
1088170836992281e3,2015-12-03,"Chicago, IL",within an hour,100%,98%,TRUE,Andersonville,1,1,"['email', 'phone']",TRUE,TRUE,Edgewater,41.98688,-87.66738,Entire rental unit,Entire home/apt,5,1 bath,3,2,30,2,2,1125,1125,2,1125,TRUE,0,0,0,0,46,38,2,2022-10-14,2023-12-04,5,5,4.98,4.98,5,5,4.89,FALSE,1,1,0,0,3.2
103470579,2023-06-27,NA,within an hour,100%,97%,FALSE,West Town,1,1,"['email', 'phone']",TRUE,TRUE,West Town,41.91154,-87.69407,Entire rental unit,Entire home/apt,4,2 baths,4,2,365,2,7,1125,1125,6,1125,TRUE,13,43,73,73,23,23,5,2023-08-30,2023-12-04,4.74,4.78,4.87,4.74,4.83,4.7,4.83,TRUE,1,1,0,0,6.22
1319911483740518100,2017-10-16,NA,within an hour,100%,100%,FALSE,West Lakeview,2,2,"['email', 'phone']",TRUE,TRUE,North Center,41.939255,-87.682321,Entire rental unit,Entire home/apt,8,1.5 baths,4,32,365,32,32,32,1125,32,155.1,TRUE,29,59,89,332,177,3,0,2017-11-26,2023-08-08,4.71,4.78,4.61,4.82,4.9,4.8,4.67,TRUE,2,2,0,0,2.4
1834583396965473e3,2018-08-28,"Chicago, IL",within an hour,100%,97%,TRUE,Streeterville,31,36,"['email', 'phone']",TRUE,TRUE,Loop,41.87158,-87.62607,Private room in rental unit,Private room,2,1 private bath,1,2,365,2,4,1125,1125,2.7,1125,TRUE,23,44,44,44,8,8,1,2023-10-20,2023-12-15,5,5,5,5,5,5,5,FALSE,20,18,2,0,4
1676476250900515600,2017-03-02,"Chicago, IL",within an hour,100%,100%,FALSE,Lower West Side,1,3,"['email', 'phone', 'work_email']",TRUE,TRUE,Lower West Side,41.853422095322856,-87.66670036773925,Entire rental unit,Entire home/apt,6,2 baths,3,2,365,2,2,365,365,2,365,TRUE,30,60,90,90,12,12,0,2023-05-08,2023-10-29,4.33,4.5,4.42,4.83,4.83,4.75,4.25,FALSE,1,1,0,0,1.6
50587283,2021-12-07,"Chicago, IL",within an hour,99%,99%,FALSE,Near South Side,42,65,"['email', 'phone']",TRUE,FALSE,Near North Side,41.89321,-87.6316,Entire rental unit,Entire home/apt,4,1 bath,2,2,1125,2,2,2,1125,2,108.5,TRUE,19,45,75,304,27,21,0,2022-09-02,2023-11-12,4.74,4.74,4.78,4.74,4.67,4.89,4.48,FALSE,41,36,5,0,1.71
1314864070591161900,2021-08-16,NA,within a day,63%,0%,FALSE,Kelvyn Park,3,3,"['email', 'phone']",TRUE,TRUE,Belmont Cragin,41.92798,-87.74534,Private room in home,Private room,1,1 shared bath,1,32,1125,32,32,1125,1125,32,1125,TRUE,30,60,90,364,2,0,0,2021-11-09,2021-12-22,5,5,4.5,5,5,5,5,FALSE,2,0,2,0,0.08
1882871301078729e3,2011-09-06,"Chicago, IL",within an hour,96%,100%,FALSE,Streeterville,13,47,"['email', 'phone']",TRUE,TRUE,Near South Side,41.86267494922655,-87.62293311979505,Entire rental unit,Entire home/apt,6,2 baths,3,6,365,2,7,1125,1125,5.7,1125,TRUE,8,35,65,238,25,25,2,2023-05-23,2023-11-25,5,5,4.92,4.96,4.76,4.88,4.76,TRUE,13,13,0,0,3.57
97699009,2019-03-14,NA,within an hour,100%,100%,FALSE,Bronzeville,3,3,"['email', 'phone']",TRUE,TRUE,Grand Boulevard,41.8209,-87.61176,Entire home,Entire home/apt,8,3.5 baths,5,2,1125,2,2,1125,1125,2,1125,TRUE,25,50,80,355,4,1,0,2022-03-27,2023-09-30,4.75,5,4.75,5,5,4.75,4.75,FALSE,3,3,0,0,0.19
105461919,2017-09-14,"Chicago, IL",within an hour,100%,100%,TRUE,Bucktown,1,1,"['email', 'phone']",TRUE,FALSE,Logan Square,41.920656,-87.681332,Entire guest suite,Entire home/apt,2,1 bath,1,2,18,2,2,1125,1125,2,1125,TRUE,0,0,0,0,296,31,4,2017-10-15,2023-12-10,4.92,4.94,4.95,4.95,4.95,4.9,4.83,FALSE,1,1,0,0,3.94
2785065,2022-09-20,"Chicago, IL",within an hour,100%,87%,TRUE,Portage Park,10,10,"['email', 'phone']",TRUE,TRUE,Portage Park,41.9613,-87.75547,Entire rental unit,Entire home/apt,2,1 bath,1,1,90,2,2,1125,1125,2,1125,TRUE,24,54,84,174,30,30,2,2023-01-02,2023-12-11,4.73,4.83,4.9,4.77,4.87,4.77,4.7,FALSE,10,10,0,0,2.56
13980087,2017-02-11,"Chicago, IL",NA,NA,94%,TRUE,West Town,1,1,"['email', 'phone', 'work_email']",TRUE,TRUE,West Town,41.89964,-87.67192,Entire condo,Entire home/apt,12,2.5 baths,7,2,365,2,2,365,365,2,365,TRUE,30,60,90,365,16,10,0,2022-07-17,2023-09-17,4.88,4.88,4.81,4.81,4.94,5,4.69,FALSE,1,1,0,0,0.92
57043905,2013-11-06,NA,within an hour,100%,100%,FALSE,West Town,6,6,"['email', 'phone']",TRUE,TRUE,Near West Side,41.87701,-87.64534,Entire condo,Entire home/apt,6,2 baths,3,32,365,32,32,1125,1125,32,1125,TRUE,3,33,63,161,2,2,0,2023-09-19,2023-11-04,4,4.5,3,4.5,4,5,3.5,FALSE,6,6,0,0,0.66
1208480015502019e3,2013-10-06,"Chicago, IL",within a few hours,100%,100%,FALSE,Irving Park,1,2,"['email', 'phone']",TRUE,TRUE,Irving Park,41.95296916993538,-87.71045097790507,Private room in rental unit,Private room,1,1 bath,1,32,365,32,32,365,365,32,365,TRUE,26,26,26,26,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,1,0,1,0,NA
49930591,2016-12-16,"New York, NY",within an hour,100%,97%,FALSE,Cambridge,4820,6438,"['email', 'phone', 'work_email']",TRUE,TRUE,Edgewater,41.9839704,-87.655453,Entire rental unit,Entire home/apt,2,1 bath,1,32,1125,32,366,1125,1125,354.1,1125,TRUE,2,32,62,337,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,643,643,0,0,NA
41669197,2015-12-18,"Chicago, IL",within an hour,100%,100%,TRUE,River North,8,10,"['email', 'phone']",TRUE,FALSE,Near North Side,41.88893,-87.63022,Private room in loft,Private room,2,1 private bath,2,1,1125,2,2,1125,1125,2,1125,TRUE,0,0,0,0,368,73,4,2018-11-25,2023-12-08,4.87,4.87,4.63,4.96,4.98,4.98,4.88,TRUE,8,0,8,0,5.97
81765071,2015-11-22,"Chicago, IL",within an hour,100%,28%,FALSE,River North,34,74,"['email', 'phone']",TRUE,FALSE,Near West Side,41.88871,-87.64185,Entire serviced apartment,Entire home/apt,2,1 bath,1,160,1124,160,160,1124,1124,160,1124,TRUE,29,59,89,364,1,0,0,2017-05-27,2017-05-27,5,5,5,5,5,5,5,FALSE,34,34,0,0,0.01
2023301271729121300,2016-10-22,NA,within an hour,91%,86%,TRUE,Pilsen,34,44,"['email', 'phone']",TRUE,TRUE,Bridgeport,41.83384,-87.65234,Entire rental unit,Entire home/apt,4,1 bath,2,32,370,32,32,370,370,32,370,TRUE,19,49,79,354,10,0,0,2020-02-13,2022-12-11,5,5,4.9,5,5,5,5,FALSE,34,34,0,0,0.21
1325146905283597300,2018-01-10,"Chicago, IL",within an hour,100%,91%,TRUE,Lakeview,10,12,"['email', 'phone']",TRUE,TRUE,Lake View,41.93447,-87.64263,Entire rental unit,Entire home/apt,4,1 bath,2,1,1125,2,2,1,1125,2,1065.9,TRUE,17,47,77,167,75,27,1,2021-07-23,2023-11-25,4.67,4.76,4.76,4.88,4.91,4.97,4.6,FALSE,10,10,0,0,2.56
1665457966761331200,2011-06-09,"Chicago, IL",within an hour,100%,99%,TRUE,Roscoe Village,24,38,"['email', 'phone', 'work_email']",TRUE,TRUE,Lincoln Park,41.92751,-87.65011,Entire rental unit,Entire home/apt,4,1 bath,1,1,1125,2,4,1125,1125,2,1125,TRUE,30,60,90,365,84,10,1,2016-02-02,2023-11-25,4.75,4.79,4.95,4.76,4.55,4.95,4.39,TRUE,23,23,0,0,0.88
1181182322024299500,2021-12-07,"Chicago, IL",within an hour,99%,99%,FALSE,Near South Side,42,65,"['email', 'phone']",TRUE,FALSE,Near South Side,41.86274,-87.62473,Entire rental unit,Entire home/apt,6,2 baths,3,1,1125,2,3,2,1125,2.2,112.2,TRUE,16,30,55,282,62,11,2,2019-12-21,2023-12-01,4.76,4.79,4.6,4.71,4.6,4.82,4.68,FALSE,41,36,5,0,1.27
1498725992337214e3,2016-12-16,"New York, NY",within an hour,100%,97%,FALSE,Cambridge,4820,6438,"['email', 'phone', 'work_email']",TRUE,TRUE,Loop,41.8860812,-87.63422229999998,Entire rental unit,Entire home/apt,2,1 bath,1,32,1125,32,366,1125,1125,353.8,1125,TRUE,25,55,85,360,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,643,643,0,0,NA
2010121964111063e3,2018-05-20,NA,within an hour,100%,100%,FALSE,Avondale,1,1,"['email', 'phone']",TRUE,FALSE,Avondale,41.93926,-87.72058,Entire home,Entire home/apt,16,4 baths,17,2,1125,2,3,1125,1125,2.1,1125,TRUE,24,51,79,241,117,29,1,2018-06-10,2023-11-24,4.68,4.61,4.44,4.9,4.93,4.67,4.62,FALSE,1,1,0,0,1.74
1622885673338656e3,2018-03-07,"Chicago, IL",within an hour,100%,91%,FALSE,River North,59,66,"['email', 'phone', 'work_email']",TRUE,TRUE,Near North Side,41.8918321,-87.6381974,Entire serviced apartment,Entire home/apt,4,2 baths,2,32,365,32,32,365,365,32,365,TRUE,30,60,90,365,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,58,58,0,0,NA
2051093956296418300,2011-06-11,"Chicago, IL",within a few hours,100%,87%,FALSE,Englewood,22,45,"['email', 'phone']",TRUE,TRUE,South Chicago,41.739059128896265,-87.56400183245147,Shared room in home,Shared room,1,2 shared baths,2,32,365,32,32,365,365,32,365,TRUE,23,53,83,358,1,1,0,2023-06-25,2023-06-25,2,3,2,1,4,1,2,FALSE,22,0,2,20,0.17
100026011,2015-11-10,"Miami, FL",within an hour,80%,98%,FALSE,South Shore,1,14,"['email', 'phone']",TRUE,TRUE,South Shore,41.7627823322032,-87.56472686242915,Entire home,Entire home/apt,8,2.5 baths,4,1,365,2,2,365,365,2,365,TRUE,29,59,89,269,1,1,0,2023-10-28,2023-10-28,1,1,1,1,1,1,1,FALSE,1,1,0,0,0.58
48627095,2015-11-22,"Chicago, IL",within an hour,100%,28%,FALSE,River North,34,74,"['email', 'phone']",TRUE,FALSE,Near North Side,41.88895,-87.63364,Entire rental unit,Entire home/apt,2,1 bath,1,160,1123,160,160,1123,1123,160,1123,TRUE,30,60,90,365,1,0,0,2018-06-21,2018-06-21,5,5,5,5,5,5,5,FALSE,34,34,0,0,0.01
1773347111155970600,2016-12-16,"New York, NY",within an hour,100%,97%,FALSE,Cambridge,4820,6438,"['email', 'phone', 'work_email']",TRUE,TRUE,Near North Side,41.8986092,-87.62068190000002,Entire rental unit,Entire home/apt,4,1 bath,2,32,1125,32,366,1125,1125,353.4,1125,TRUE,11,41,71,346,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,643,643,0,0,NA
1721883345288896e3,2022-07-24,"Chicago, IL",within an hour,100%,100%,TRUE,Little Italy,1,3,"['email', 'phone']",TRUE,TRUE,Near West Side,41.869819483360025,-87.6618342474103,Entire rental unit,Entire home/apt,4,1 bath,2,2,1125,2,2,1125,1125,2,1125,TRUE,27,53,83,352,71,45,1,2022-08-10,2023-11-25,4.8,4.79,4.82,4.92,4.87,4.92,4.77,FALSE,1,1,0,0,4.29
204687538197984e4,2013-05-06,"Fort Lauderdale, FL",within an hour,100%,67%,FALSE,West Loop,1,2,"['email', 'phone']",TRUE,TRUE,Near West Side,41.88607312545159,-87.66372735153845,Entire rental unit,Entire home/apt,3,1 bath,1,32,1125,32,32,1125,1125,32,1125,TRUE,13,43,73,253,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,1,1,0,0,NA
59309959,2016-05-08,"Chicago, IL",within an hour,100%,100%,FALSE,Lake View,1,1,"['email', 'phone']",TRUE,TRUE,Lake View,41.94780311532144,-87.66456720659262,Private room in rental unit,Private room,1,1 shared bath,1,3,14,3,4,1125,1125,3.7,1125,TRUE,29,59,89,364,1,1,0,2023-10-31,2023-10-31,5,5,5,5,5,5,5,FALSE,1,0,1,0,0.61
105370825,2015-09-10,"Chicago, IL",within an hour,100%,100%,TRUE,Humboldt Park,4,4,"['email', 'phone']",TRUE,TRUE,Humboldt Park,41.8906137,-87.7168576,Entire rental unit,Entire home/apt,4,1 bath,3,32,95,32,32,95,95,32,95,TRUE,23,53,83,173,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,4,1,3,0,NA
83233187,2017-01-12,NA,within an hour,99%,100%,TRUE,Lincoln Park,24,26,"['email', 'phone']",TRUE,TRUE,Lower West Side,41.8563213,-87.6560896,Entire home,Entire home/apt,8,3 baths,4,2,30,2,2,1125,1125,2,1125,TRUE,0,0,0,0,39,39,3,2023-04-09,2023-12-11,4.88,4.9,4.85,4.75,5,4.63,4.83,TRUE,22,22,0,0,4.61
1553146231068535e3,2021-10-01,NA,within an hour,100%,100%,TRUE,Park Boulevard,9,13,"['email', 'phone']",TRUE,TRUE,Douglas,41.83025,-87.62755,Private room in home,Private room,2,1.5 baths,1,2,365,2,2,1125,1125,2,1125,TRUE,27,57,78,243,3,3,0,2023-09-04,2023-10-25,5,5,5,5,5,5,5,FALSE,9,0,9,0,0.85
29422009,2012-04-02,"Chicago, IL",NA,NA,NA,FALSE,Hermosa,1,1,"['email', 'phone']",TRUE,TRUE,Hermosa,41.91394,-87.72486,Entire home,Entire home/apt,2,1 bath,1,32,1125,32,32,1125,1125,32,1125,TRUE,27,57,87,267,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,1,1,0,0,NA
1594430685181145600,2012-05-20,"Chicago, IL",within an hour,100%,100%,TRUE,Hyde Park,2,2,"['email', 'phone']",TRUE,FALSE,Hyde Park,41.79903,-87.59024,Entire home,Entire home/apt,7,2.5 baths,4,2,7,2,3,7,7,2,7,TRUE,0,0,0,0,7,7,1,2023-05-07,2023-11-26,5,5,5,5,5,5,4.75,FALSE,1,1,0,0,0.93
108533849,2015-11-22,"Chicago, IL",within an hour,100%,28%,FALSE,River North,34,74,"['email', 'phone']",TRUE,FALSE,Near North Side,41.89963,-87.62103,Entire rental unit,Entire home/apt,2,1 bath,1,28,1121,5,28,1121,1121,27.1,1121,TRUE,30,60,90,365,2,0,0,2021-07-31,2022-11-20,5,4.5,4.5,5,5,5,4.5,FALSE,34,34,0,0,0.07
90674795,2023-11-06,NA,within an hour,100%,92%,FALSE,Douglas,18,18,"['email', 'phone']",TRUE,TRUE,Douglas,41.82565,-87.61736,Private room in home,Private room,2,1 private bath,1,1,1125,2,2,1125,1125,2,1125,TRUE,29,59,89,364,1,1,1,2023-12-11,2023-12-11,5,5,5,5,5,5,5,FALSE,18,3,15,0,1
